name_ko,name_original,birth_year,death_year,aliases,nationality
바흐,"Bach, Johann Sebastian",1685,1750,요한 제바스티안 바흐|J.S. 바흐|J.S. Bach,독일
모차르트,"Mozart, Wolfgang Amadeus",1756,1791,볼프강 아마데우스 모차르트|모짜르트|Mozart,오스트리아
클레멘티,"Clementi, Muzio",1752,1832,무치오 클레멘티|Clementi,이탈리아
베토벤,"Beethoven, Ludwig van",1770,1827,루트비히 판 베토벤|베에토벤|Beethoven,독일
쿨라우,"Kuhlau, Friedrich",1786,1832,프리드리히 쿨라우|쿨라우|Kuhlau,독일·덴마크
슈베르트,"Schubert, Franz",1797,1828,프란츠 슈베르트|Schubert,오스트리아
체르니,"Czerny, Carl",1791,1857,카를 체르니|쩨르니|체르니|Czerny,오스트리아
멘델스존,"Mendelssohn, Felix",1809,1847,펠릭스 멘델스존|멘델스죤|Mendelssohn,독일
쇼팽,"Chopin, Frédéric",1810,1849,프레데리크 쇼팽|프레데릭 쇼팽|쇼팡|Chopin|Fryderyk Chopin,폴란드
슈만,"Schumann, Robert",1810,1856,로베르트 슈만|Schumann,독일
바다르체프스카,"Bądarzewska-Baranowska, Tekla",1834,1861,테클라 바다르체프스카|바다제프스카|바다르제프스카|Badarzewska,폴란드
바이엘,"Beyer, Ferdinand",1803,1863,페르디난트 바이어|바이어|Beyer,독일
부르크뮐러,"Burgmüller, Friedrich",1806,1874,프리드리히 부르크뮐러|부르그뮐러|부르크밀러|부르그밀러|Burgmuller,독일
리스트,"Liszt, Franz",1811,1886,프란츠 리스트|Liszt,헝가리
랑게,"Lange, Gustav",1830,1889,구스타프 랑게|랑게|Lange,독일
차이콥스키,"Tchaikovsky, Pyotr",1840,1893,차이코프스키|챠이코프스키|표트르 차이콥스키|Tchaikovsky|Tchaikovski|Chaikovsky,러시아
브람스,"Brahms, Johannes",1833,1897,요하네스 브람스|Brahms,독일
하농,"Hanon, Charles-Louis",1819,1900,샤를 루이 하농|하논|Hanon,프랑스
그리그,"Grieg, Edvard",1843,1907,에드바르 그리그|에드바르드 그리그|그리이그|Grieg,노르웨이
스크랴빈,"Scriabin, Aleksandr",1872,1915,스크리아빈|알렉산드르 스크랴빈|Scriabin|Skryabin,러시아
조플린,"Joplin, Scott",1868,1917,스콧 조플린|스캇 조플린|Joplin,미국
드뷔시,"Debussy, Claude",1862,1918,클로드 드뷔시|드비시|드뷔시|Debussy,프랑스
사티,"Satie, Erik",1866,1925,에릭 사티|Satie,프랑스
라벨,"Ravel, Maurice",1875,1937,모리스 라벨|Ravel,프랑스
라흐마니노프,"Rachmaninoff, Sergei",1873,1943,라흐마니노브|라흐마니놉|세르게이 라흐마니노프|Rachmaninov|Rachmaninoff,러시아
파헬벨,"Pachelbel, Johann",1653,1706,요한 파헬벨|파헬벨|파헬벨 캐논|Pachelbel,독일
하이든,"Haydn, Joseph",1732,1809,요제프 하이든|프란츠 요제프 하이든|하이든|Haydn,오스트리아
생상스,"Saint-Saëns, Camille",1835,1921,카미유 생상스|생상|생상스|생 상스|Saint-Saens|Saint-Saëns,프랑스
무소륵스키,"Mussorgsky, Modest",1839,1881,모데스트 무소륵스키|무소르그스키|무소륵스키|무소르크스키|Mussorgsky|Musorgsky,러시아
드보르작,"Dvořák, Antonín",1841,1904,안토닌 드보르작|드보르자크|드보르작|드보르쟉|Dvorak|Dvořák,체코
엘가,"Elgar, Edward",1857,1934,에드워드 엘가|엘가|엘가르|Elgar,영국
알베니즈,"Albéniz, Isaac",1860,1909,이사크 알베니즈|알베니스|알베니즈|Albeniz|Albéniz,스페인
그라나도스,"Granados, Enrique",1867,1916,엔리케 그라나도스|그라나도스|Granados,스페인
디아벨리,"Diabelli, Anton",1781,1858,안톤 디아벨리|디아벨리|Diabelli,오스트리아
뒤베르누아,"Duvernoy, Jean-Baptiste",1802,1880,장 밥티스트 뒤베르누아|뒤베르누아|듀베르노이|Duvernoy,프랑스
프로코피예프,"Prokofiev, Sergey",1891,1953,세르게이 프로코피예프|프로코피에프|프로코피예프|Prokofiev,러시아
