seq,composer_original,title_ko,title_original,catalog_numbers,aliases,level,imslp_url,collection_guide
1,"Beyer, Ferdinand",바이엘 피아노 교본,"Vorschule im Klavierspiel, Op.101",Op.101,바이엘|바이엘 교본|바이엘 피아노|어린이 바이엘|바이어|Beyer,BEGINNER,"https://imslp.org/wiki/Vorschule_im_Klavierspiel,_Op.101_(Beyer,_Ferdinand)","이 악보에는 연습곡 106곡이 번호 순으로 들어 있어요. 한국 교재의 상·하권이 한 권으로 묶여 있어요"
2,"Hanon, Charles-Louis",하농 피아노 연습곡,The Virtuoso Pianist,,하농|하논|하농 60|하농 연습곡|Hanon|비르투오조 피아니스트,BEGINNER,"https://imslp.org/wiki/The_Virtuoso_Pianist_(Hanon,_Charles-Louis)","이 악보에는 연습곡 60곡이 들어 있어요 — 보통 1~20번을 먼저 연습해요"
3,"Czerny, Carl",체르니 100번,"100 Übungsstücke, Op.139",Op.139,체르니 100|체르니100|체르니 100번|체르니 백번|Czerny 100|100 Progressive Studies,ELEMENTARY,"https://imslp.org/wiki/100_Übungsstücke,_Op.139_(Czerny,_Carl)","이 악보에는 연습곡 100곡이 번호 순으로 들어 있어요"
4,"Burgmüller, Friedrich",부르크뮐러 25 연습곡,"25 Études faciles et progressives, Op.100",Op.100,부르크뮐러|부르크뮐러 25|부르크뮐러 25번|부르그뮐러|부르크뮐러 연습곡|아라베스크|무도회|발라드|천사의 합창|천사의 목소리|귀부인의 승마|Burgmüller 25,ELEMENTARY,"https://imslp.org/wiki/25_Études_faciles_et_progressives,_Op.100_(Burgmüller,_Friedrich)","이 악보에는 25곡이 들어 있어요 — 2번 아라베스크 · 4번 작은 모임(무도회) · 15번 발라드 · 21번 천사의 합창 · 25번 귀부인의 승마"
5,"Czerny, Carl",체르니 30번,"30 Études de mécanisme, Op.849",Op.849,체르니 30|체르니30|체르니 30번|체르니 삼십번|Czerny 30,ELEMENTARY,"https://imslp.org/wiki/30_Études_de_mécanisme,_Op.849_(Czerny,_Carl)","이 악보에는 연습곡 30곡이 번호 순으로 들어 있어요"
6,"Bach, Johann Sebastian",안나 막달레나 바흐를 위한 음악 수첩,Notebooks for Anna Magdalena Bach,BWV Anh.113–132,안나 막달레나|안나 막달레나 바흐|바흐 미뉴에트|미뉴에트 G장조|미뉴에트 사장조|미뉴엣|Minuet in G|BWV Anh.114|뮈제트|뮤제트|바흐 행진곡,ELEMENTARY,"https://imslp.org/wiki/Notebooks_for_Anna_Magdalena_Bach_(Bach,_Johann_Sebastian)","이 악보에는 소품 여러 곡이 들어 있어요 — 미뉴에트 G장조(BWV Anh.114) · 뮈제트 D장조(Anh.126) · 행진곡 D장조(Anh.122). 미뉴에트 G장조는 실제로는 페촐트(Christian Petzold)의 곡이에요"
7,"Beethoven, Ludwig van",엘리제를 위하여,"Für Elise, WoO 59",WoO 59,엘리제|엘리제를 위하여|엘리제를위하여|퓌르 엘리제|퓨어 엘리제|Für Elise|Fur Elise|Fuer Elise|바가텔 A단조,ELEMENTARY,"https://imslp.org/wiki/Für_Elise,_WoO_59_(Beethoven,_Ludwig_van)",
8,"Bądarzewska-Baranowska, Tekla",소녀의 기도,"La prière d'une vierge, Op.4",Op.4,소녀의 기도|소녀의기도|처녀의 기도|바다르체프스카|바다제프스카|Maiden's Prayer|The Maiden's Prayer,ELEMENTARY,"https://imslp.org/wiki/La_prière_d'une_vierge,_Op.4_(Bądarzewska-Baranowska,_Tekla)",
9,"Lange, Gustav",꽃노래,"Blumenlied, Op.39",Op.39,꽃노래|꽃 노래|꽃의 노래|랑게 꽃노래|Flower Song|Blumenlied,ELEMENTARY,"https://imslp.org/wiki/Blumenlied,_Op.39_(Lange,_Gustav)",
10,"Schumann, Robert",어린이를 위한 앨범,"Album für die Jugend, Op.68",Op.68,어린이를 위한 앨범|유년 앨범|청소년을 위한 앨범|소년 앨범|즐거운 농부|기쁜 농부|멜로디|병정 행진곡|첫 슬픔|슈만 소품집|Album for the Young,ELEMENTARY,"https://imslp.org/wiki/Album_für_die_Jugend,_Op.68_(Schumann,_Robert)","이 악보에는 43곡이 들어 있어요 — 1번 멜로디 · 2번 병정 행진곡 · 10번 즐거운 농부 · 16번 첫 슬픔. 후반부(2부)는 앞부분보다 어려워요"
